tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2023-07-11,2915.823729956509,107353064067
2023-07-12,3496.496257377779,107354456303
2023-07-13,4138.898136081469,107203757383
2023-07-14,3162.9196568457714,107236665648
2023-07-15,1973.5040281077975,106813589107
2023-07-16,2276.17241110969,107389490119
2023-07-17,3005.7131565522095,107670132511
2023-07-18,3783.5558616620688,107512689232
2023-07-19,3501.694663072665,107510809713
2023-07-20,3551.8119131241624,107765591746
2023-07-21,3740.347904981634,107722646704
2023-07-22,2620.5208622144823,107833001730
2023-07-23,2788.9092388570366,107958237509
2023-07-24,4227.995889644724,107873689908
2023-07-25,3982.9124139678324,107711115359
2023-07-26,3519.8195233010815,107942018518
2023-07-27,4102.781970684406,107813302359
2023-07-28,4772.719237072252,107755731066
2023-07-29,2842.378949112202,107886198648
2023-07-30,2728.9405799984725,107921070448
2023-07-31,3021.404737394789,108138723329
2023-08-01,3004.9893180691843,108014422548
2023-08-02,3218.3007550653833,107993092633
2023-08-03,2957.9436948327175,107793758866
2023-08-04,2562.337834622587,107947687465
2023-08-05,2242.7106083052245,107993871315
2023-08-06,2002.5302616533113,108019767910
2023-08-07,3092.737548239849,107800652867
2023-08-08,3183.315108461876,107801718774
2023-08-09,2868.9588262942634,107774603331
2023-08-10,2954.9597901043935,107793228256
2023-08-11,2498.4518348503234,107816529245
2023-08-12,1975.778617543215,107970643228
2023-08-13,1948.1286122734764,108276126572
2023-08-14,2785.386771804264,108013277969
2023-08-15,3335.862627387613,107829890177
2023-08-16,3907.857732702171,107868979220
2023-08-17,4814.385487144108,107721784436
2023-08-18,3269.385215557942,107645212667
2023-08-19,1996.23872208538,107783597822
2023-08-20,2047.6283032763158,108009920526
2023-08-21,2997.2303675416283,107844302938
2023-08-22,3937.612465678793,107885676918
2023-08-23,2948.5092787115295,107931585163
2023-08-24,2638.876051897837,107708862431
2023-08-25,3083.290342853247,107753305360
2023-08-26,1783.772920011645,107922680382
2023-08-27,1719.8210066211789,108184191166
2023-08-28,3519.9455731933604,107896201873
2023-08-29,4190.802614465813,107559620314
2023-08-30,2963.063355181595,107681366952
2023-08-31,2816.222874737392,107799514730
2023-09-01,2328.4827723194817,107878959922
2023-09-02,1626.8082546872856,107840061665
2023-09-03,1639.6726305486527,108044353004
2023-09-04,2129.2274222555443,108323453174
2023-09-05,2358.177183849587,108042919702
2023-09-06,2582.734770270878,107552486307
2023-09-07,2503.1076302047445,107985160051
2023-09-08,2322.27642124652,107771034844
2023-09-09,1550.349155515393,107953960489
2023-09-10,1387.551717076724,108194133311
2023-09-11,2842.1602695603615,107995200067
2023-09-12,2112.9445827089394,107809254006
2023-09-13,2432.136647476098,107823261717
2023-09-14,2462.701938752387,107428930369
2023-09-15,2261.108310890664,107052156966
2023-09-16,1488.0031969302665,107137926464
2023-09-17,1283.6195724523202,106744326789
2023-09-18,2202.605448275795,107520100755
2023-09-19,1802.7405651415252,107834628557
2023-09-20,2031.6379231515489,107980933672
2023-09-21,2474.382367762138,107883826233
2023-09-22,1406.4943870680806,107826684082
2023-09-23,1128.5771966042535,108565086880
2023-09-24,1082.458561061521,108309749962
2023-09-25,1805.787757179499,108055685620
2023-09-26,2066.8400722660804,107930542555
2023-09-27,1683.8635888333486,107922063743
2023-09-28,1598.107257795656,107744858590
2023-09-29,1412.9955766460064,107899780346
2023-09-30,1208.1695101066846,108229715830
2023-10-01,1164.0535182233812,108431638141
2023-10-02,2370.0577197303296,108255055043
2023-10-03,1638.5205826673503,107975019944
2023-10-04,1380.2712824927034,108129023497
2023-10-05,1280.2943779462141,108248641611
2023-10-06,1178.6355922196637,108193549021
2023-10-07,941.3532909015063,108299147948
2023-10-08,926.4424692117332,108310841816
2023-10-09,1222.0040196255381,107969520316
2023-10-10,1115.1519271242282,108170577565
2023-10-11,1168.9961349608693,107833120136
2023-10-12,1249.2300053480133,108026703448
2023-10-13,1270.7757525774605,108033307181
2023-10-14,838.3343533124194,108563626204
2023-10-15,894.2319238053728,108491841539
2023-10-16,1647.2430511876057,108254158734
2023-10-17,1314.656251073536,108018835545
2023-10-18,1391.7066932786329,107889537163
2023-10-19,1434.248150334526,107903454552
2023-10-20,1921.039646882652,108006805926
2023-10-21,1240.2318273389405,107977270328
2023-10-22,1252.7896313380543,107991323899
2023-10-23,2831.4957054751285,107985283550
2023-10-24,3408.391192286043,107753291288
2023-10-25,3209.843691579816,107561248515
2023-10-26,3195.9208540262375,107843005214
2023-10-27,2511.58482915766,107995689909
2023-10-28,1922.8012802241637,107789681968
2023-10-29,1913.8882079164923,107819983084
2023-10-30,2868.3482666389173,107827177101
2023-10-31,3155.7851388156487,107631123242
2023-11-01,3347.9173803358217,107945356524
2023-11-02,3280.9906913737696,107597693913
2023-11-03,2870.748579222774,107677024419
2023-11-04,2186.4025631529394,107692112646
2023-11-05,2533.257520446845,107653059068
2023-11-06,3835.3668660707895,107776634539
2023-11-07,3442.5433698366573,107902868960
2023-11-08,3961.7764504529932,107937804240
2023-11-09,6046.715295704942,107941360503
2023-11-10,4882.090672837442,107972463441
2023-11-11,3645.383851093649,107895921915
2023-11-12,3553.407615238833,107890578358
2023-11-13,5953.369183305995,107858538606
2023-11-14,4655.040473732773,108062171960
2023-11-15,4277.555730764782,107844318514
2023-11-16,4309.9762155117305,108002812540
2023-11-17,3511.9124388137234,107938758996
2023-11-18,2846.092437090544,107393638273
2023-11-19,2687.23878150335,107813142128
2023-11-20,4803.594813640629,107964279468
2023-11-21,4885.304441803507,107865462611
2023-11-22,4870.089302111655,107838403023
2023-11-23,4073.524075659607,107864151826
2023-11-24,3578.9179070031773,107750826814
2023-11-25,2811.251468168332,107936575620
2023-11-26,3054.68018896787,107778568328
2023-11-27,4073.2738613059764,107702123594
