contract,basic_block,original_gas_cost,syrup_tool_gas_cost,our_tool_gas_cost,syrup_tool_execution_time,our_tool_execution_time
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2375.0,89,16,6,0.6739037036895752,43.11546730995178
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2128.4,748,742,742,0.6747736930847168,24.79033589363098
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1188.0,6,6,6,0.5620167255401611,1.9816486835479736
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1624.3,6,6,6,0.5716168880462646,1.8300514221191406
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2181.2,51,51,48,0.7418715953826904,23.48418235778809
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1018.1,12,12,12,0.8133015632629395,6.281742095947265
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1535,715,715,715,0.5129823684692383,12.09064316749573
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2050.0,86,13,6,0.5069723129272461,32.58131194114685
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2315,4,4,4,0.5173287391662598,1.6644945144653323
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1239.0,6,6,6,0.5157454013824463,1.849172830581665
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block163,6,6,6,0.5069820880889893,1.6610593795776367
